Publisher,Total_Docs
Department of Mathematics at Princeton University,32
Institute of Mathematical Statistics,97
Oxford University Press,87
Taylor and Francis Ltd.,296
Taylor and Francis Ltd.,108
Oxford University Press,52
Cambridge University Press,29
Institute of Mathematical Statistics,60
Annual Reviews Inc.,29
Microtome Publishing,2
University of California at Los Angeles,32
Oxford University Press,873
Psychology Press Ltd,97
Springer New York,73
Institute of Mathematical Statistics,42
Nature Publishing Group,899
Wiley-Blackwell Publishing Ltd,66
Carnegie Mellon University,46
Institute of Mathematical Statistics,6
Wiley-Blackwell,34
Institute of Mathematical Statistics,155
Cambridge University Press,113
Oxford University Press,64
Institute of Mathematical Statistics,80
Taylor and Francis Ltd.,172
Bernoulli Society for Mathematical Statistics and Probability,135
Wiley-Blackwell Publishing Ltd,325
Oxford University Press,43
Institute of Mathematical Statistics,168
Institute of Statistical Science,118
Elsevier B.V.,82
Springer New York,67
John Wiley and Sons Ltd,308
European Mathematical Society Publishing House,16
SMAI French Society for Applied and Industrial Mathematics,9
Oxford University Press,48
Taylor and Francis Ltd.,29
Institute of Mathematical Statistics,94
SAGE Publications Ltd,148
Elsevier B.V.,1426
Springer Verlag,40
Copernicus GmbH,7
Elsevier B.V.,181
Academic Press Inc.,42
Taylor and Francis Ltd.,58
Elsevier B.V.,64
INFORMS Institute for Operations Research and the Management Sciences,17
John Wiley and Sons Ltd,80
Institute of Mathematical Statistics,0
John Wiley & Sons Inc.,31
Society for Industrial and Applied Mathematics Publications,46
John Wiley & Sons Inc.,33
Springer Nature,12
Cambridge University Press,44
U.S. National Center for Health Statistics,4
Elsevier B.V.,156
Wiley-VCH Verlag,110
Taylor and Francis Ltd.,121
Taylor and Francis Ltd.,56
"International Press of Boston, Inc.",26
Institute of Mathematical Statistics,159
Springer Netherlands,142
Springer Verlag,29
Universidad Internacional de la Rioja,63
Wiley-Blackwell Publishing Ltd,95
Wiley-Blackwell,49
GESIS - Leibniz Institute for the Social Sciences,12
Walter de Gruyter GmbH,28
Academic Press Inc.,87
American Institute of Mathematical Sciences,21
Taylor and Francis Ltd.,110
Elsevier B.V.,32
American Physical Society,1629
Elsevier B.V.,66
Instituto Nacional de Matematica Pura e Aplicada,40
Springer Netherlands,45
Oxford University Press,53
Springer New York,84
IOP Publishing Ltd.,495
Springer Netherlands,36
R Foundation for Statistical Computing,50
Springer Netherlands,415
Oxford University Press,82
Elsevier B.V.,56
Cambridge University Press,24
Springer Verlag,26
Association for Computing Machinery (ACM),17
Begell House Inc.,20
Physica-Verlag,243
Taylor and Francis Ltd.,64
Elsevier B.V.,88
Springer Netherlands,48
Cambridge University Press,29
Taylor and Francis Ltd.,71
SpringerOpen,0
University of Skovde,9
Wiley-VCH Verlag,204
Elsevier B.V.,799
Springer New York,186
Hungarian Central Statistical Office,40
Multidisciplinary Digital Publishing Institute (MDPI),887
Cambridge University Press,56
Elsevier Inc.,79
NA,32
John Wiley and Sons Ltd,62
Springer Science + Business Media,84
Springer International Publishing AG,40
Taylor and Francis Ltd.,45
Springer Netherlands,37
Taylor and Francis Ltd.,54
Institute of Mathematical Statistics,61
Springer Verlag,72
World Scientific,26
Springer New York,122
Groupe des ecoles nationales d'economie et statistique,16
Wiley-Blackwell Publishing Ltd,46
Springer Verlag,184
Academic Press,196
Cambridge University Press,113
Statistics Sweden,26
Routledge,248
Springer Verlag,65
Walter de Gruyter GmbH,46
KeAi Communications Co.,22
IOS Press BV,2
Springer New York,65
Walter de Gruyter GmbH,14
Springer Netherlands,28
American Institute of Mathematical Sciences,24
Taylor and Francis Ltd.,191
Wiley-Blackwell,92
American Institute of Mathematical Sciences,79
International Association for Statistical Education (IASE),31
Wiley-Blackwell Publishing Ltd,116
Springer New York,67
Springer Nature,60
Springer Verlag,49
VTeX,20
"College of Statistical and Actuarial Sciences, University of Punjab",40
Statistics Canada,28
Institut d'Estadistica de Catalunya,12
Elsevier B.V.,13
Elsevier B.V.,160
Taylor and Francis Ltd.,769
Jomard Publishing,42
Ele-Math,20
Taylor and Francis Ltd.,564
Taylor and Francis Ltd.,70
American Institute of Mathematical Sciences,23
New York Business Global,195
Cambridge University Press,44
Springer Netherlands,94
Taylor and Francis Ltd.,68
SAGE Publications Ltd,39
Gordon and Breach Science Publishers,78
Korean Statistical Society,46
Springer Verlag,60
Taylor and Francis Ltd.,23
Springer Nature,93
Elsevier Ireland Ltd,158
Taylor and Francis Inc.,14
Associacao Brasileira de Estatistica,37
American Mathematical Society,17
Digital CSIC,9
IOP Publishing Ltd.,194
Springer Nature,54
Springer Verlag,98
IOS Press BV,1492
Wiley-Blackwell,31
Cornell University,11
International Academic Press,74
Springer Netherlands,28
Walter de Gruyter GmbH,10
Springer India,32
Wiley-Blackwell Publishing Ltd,19
World Scientific Publishing Co. Pte Ltd,35
Frontiers Media SA,174
Emerald Publishing,46
World Scientific,25
Springer Science and Business Media B.V.,51
Chilean Statistical Society,10
Hungarian Central Statistical Office,29
Springer,31
Taylor and Francis Ltd.,17
Walter de Gruyter GmbH,4
EDP Sciences,26
Springer India,74
Walter de Gruyter GmbH,9
Springer-Verlag Italia s.r.l.,25
Society for Industrial and Applied Mathematics Publications,43
Springer Nature,54
Springer Science and Business Media Deutschland GmbH,612
Springer Verlag,27
Springer International Publishing AG,16
Multidisciplinary Digital Publishing Institute (MDPI),75
Hacettepe University,113
University of Pennsylvania Press,34
Taylor and Francis Ltd.,52
Routledge,31
"International Press of Boston, Inc.",46
Badih Ghusayni,91
Polskie Towarzystwo Semiotyczne,77
Instituto Nacional De Estatistica,26
IOS Press BV,84
Thai Statistical Association,58
Pakistan Journal of Statistics,29
PWN-Polish Scientific Publishers,8
NA,17
Walter de Gruyter GmbH,28
Walter de Gruyter GmbH,21
Lifescience Global,34
World Scientific and Engineering Academy and Society,93
River Publishers,15
Walter de Gruyter GmbH,14
Universidad Nacional de Colombia,13
Science China Press,42
Polymat,13
