Publisher,Total_Docs
Department of Mathematics at Princeton University,33
Institute of Mathematical Statistics,174
Oxford University Press,44
Taylor and Francis Ltd.,69
Taylor and Francis Ltd.,178
Oxford University Press,896
Cambridge University Press,14
Oxford University Press,70
Annual Reviews Inc.,22
Institute of Mathematical Statistics,81
University of California at Los Angeles,62
INFORMS Institute for Operations Research and the Management Sciences,16
Taylor and Francis Ltd.,48
Nature Publishing Group,292
Microtome Publishing,290
Carnegie Mellon University,45
Springer New York,71
Oxford University Press,61
Psychology Press Ltd,50
Institute of Mathematical Statistics,42
Institute of Mathematical Statistics,7
Wiley-Blackwell,34
R Foundation for Statistical Computing,92
Institute of Mathematical Statistics,87
Bernoulli Society for Mathematical Statistics and Probability,132
Springer Verlag,25
Taylor and Francis Ltd.,41
Taylor and Francis Ltd.,79
Wiley-Blackwell Publishing Ltd,70
Institute of Mathematical Statistics,162
Institute of Mathematical Statistics,106
Springer New York,26
Elsevier B.V.,95
Springer Netherlands,36
"International Press of Boston, Inc.",60
SAGE Publications Ltd,167
Wiley-Blackwell Publishing Ltd,128
John Wiley and Sons Ltd,423
Institute of Mathematical Statistics,98
Institute of Mathematical Statistics,156
Oxford University Press,53
Oxford University Press,91
Springer Nature,11
Institute of Statistical Science,87
Elsevier B.V.,138
Springer New York,51
Association for Computing Machinery (ACM),25
Springer Netherlands,80
Springer Verlag,44
Cambridge University Press,83
Elsevier B.V.,125
Society for Industrial and Applied Mathematics Publications,60
Oxford University Press,38
John Wiley & Sons Inc.,31
Wiley-Blackwell Publishing Ltd,54
Springer New York,120
Taylor and Francis Ltd.,32
Academic Press Inc.,91
Institute of Mathematical Statistics,4
Taylor and Francis Ltd.,16
Elsevier B.V.,165
Elsevier B.V.,1553
Walter de Gruyter GmbH,16
Oxford University Press,63
Cambridge University Press,64
John Wiley & Sons Inc.,32
Wiley-VCH Verlag,96
John Wiley and Sons Ltd,41
Springer Science + Business Media,35
Institute of Mathematical Statistics,71
Wiley-VCH Verlag,171
Taylor and Francis Ltd.,42
Elsevier B.V.,855
