Region,Publisher,Year,Num_Documents
Western Europe,Taylor and Francis Ltd.,2022,195
Western Europe,Taylor and Francis Ltd.,2022,225
Western Europe,Taylor and Francis Ltd.,2022,52
Western Europe,Taylor and Francis Ltd.,2022,114
Western Europe,Taylor and Francis Ltd.,2022,25
Western Europe,Elsevier B.V.,2022,91
Western Europe,Elsevier B.V.,2022,198
Western Europe,Elsevier B.V.,2022,1647
Western Europe,Taylor and Francis Ltd.,2022,42
Western Europe,Taylor and Francis Ltd.,2022,69
Western Europe,Elsevier B.V.,2022,84
Western Europe,Taylor and Francis Ltd.,2022,40
Western Europe,Elsevier B.V.,2022,93
Western Europe,Elsevier B.V.,2022,176
Western Europe,Elsevier B.V.,2022,35
Northern America,American Physical Society,2022,1780
Western Europe,Taylor and Francis Ltd.,2022,31
Western Europe,Taylor and Francis Ltd.,2022,34
Northern America,Taylor and Francis Ltd.,2022,66
Western Europe,Elsevier B.V.,2022,999
Western Europe,Elsevier B.V.,2022,101
Western Europe,Taylor and Francis Ltd.,2022,44
Western Europe,Elsevier B.V.,2022,90
Western Europe,Taylor and Francis Ltd.,2022,182
Northern America,Taylor and Francis Ltd.,2022,23
Northern America,Taylor and Francis Ltd.,2022,53
Western Europe,Taylor and Francis Ltd.,2022,16
Western Europe,Elsevier B.V.,2022,202
Northern America,Taylor and Francis Ltd.,2022,515
Western Europe,Taylor and Francis Ltd.,2022,64
Northern America,Taylor and Francis Ltd.,2022,568
Western Europe,Elsevier B.V.,2022,15
Northern America,Taylor and Francis Ltd.,2022,30
Western Europe,Taylor and Francis Ltd.,2022,41
Western Europe,Taylor and Francis Ltd.,2023,296
Western Europe,Taylor and Francis Ltd.,2023,108
Western Europe,Taylor and Francis Ltd.,2023,172
Western Europe,Elsevier B.V.,2023,82
Western Europe,Taylor and Francis Ltd.,2023,29
Western Europe,Elsevier B.V.,2023,1426
Western Europe,Elsevier B.V.,2023,181
Western Europe,Taylor and Francis Ltd.,2023,58
Western Europe,Elsevier B.V.,2023,64
Western Europe,Elsevier B.V.,2023,156
Western Europe,Taylor and Francis Ltd.,2023,121
Western Europe,Taylor and Francis Ltd.,2023,56
Northern America,Taylor and Francis Ltd.,2023,110
Western Europe,Elsevier B.V.,2023,32
Northern America,American Physical Society,2023,1629
Western Europe,Elsevier B.V.,2023,66
Western Europe,Elsevier B.V.,2023,56
Western Europe,Taylor and Francis Ltd.,2023,64
Western Europe,Elsevier B.V.,2023,88
Western Europe,Taylor and Francis Ltd.,2023,71
Western Europe,Elsevier B.V.,2023,799
Western Europe,Taylor and Francis Ltd.,2023,45
Northern America,Taylor and Francis Ltd.,2023,54
Western Europe,Taylor and Francis Ltd.,2023,191
Western Europe,Elsevier B.V.,2023,13
Western Europe,Elsevier B.V.,2023,160
Northern America,Taylor and Francis Ltd.,2023,769
Northern America,Taylor and Francis Ltd.,2023,564
Western Europe,Taylor and Francis Ltd.,2023,70
Western Europe,Taylor and Francis Ltd.,2023,68
Northern America,Taylor and Francis Ltd.,2023,23
Western Europe,Taylor and Francis Ltd.,2023,17
Northern America,Taylor and Francis Ltd.,2023,52
Western Europe,Taylor and Francis Ltd.,2023,24
